,tweets_en,sentistrength
8,Safari on iOS 14: How to translate websites into German,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,How to Fix iOS 14 &amp; iPadOS 14 Wi-Fi Problems,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}"
11,❌ Transport for Wales update: 13:16 Maesteg to Cardiff Central due 14:10 will be cancelled. Download the Train Beac…,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.25}"
17,"Suchitra is the iOS 14.1 of Vanitha. A dangerous fox who already managed to turn people against each other, fed them with f…","{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.4767}"
22,How to Fix iOS 14 &amp; iPadOS 14 Wi-Fi Problems,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}"
31,just did my little update to iOS 14.1 and no text massage capabilities!?!? #please #help #apple,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.4843}"
32,just did my little update to iOS 14.1 and no text massage capabilities!?!? #please #help #apple,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.4843}"
43,"Discovered at @NextPitDE: ""Tap the back"": This is how you can find the hidden iPhone function #tech #howto","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,can you explain to me the trick how you have been using the emoji fondue since last year (like you ...,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.0516}"
68,Apple really wants me to download this update. Just aggressive with the notifications.. Is my big dicked but though…,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.0772}"
75,The translation of websites on iOS and iPadOS 14 works! Apparently Apple activated this on the server side! #servicetweet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,hai kaak! taya jual loh full garansi &amp; anti on hold yang pasti murah berkualitas dm yuk 🤍 ✅ netflix 35k ✅ spotify…,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.3802}"
85,Safari on iOS 14: How to translate websites into German,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
109,I still don't update the iOS 14 wea and now there's an iOS 14.1 wea,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
114,vsfd my phone update pro ios 14 will take in the ass did not want,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.575}"
117,Bitch I can still get IOS 14,"{'neg': 0.432, 'neu': 0.568, 'pos': 0.0, 'compound': -0.5859}"
120,Estaure mi Cell 😩 I was fed up that calls were not heard at once and that Bluetooth did not dream either ...,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.1877}"
122,Thank you iOS 14 for adding a bunch of unwanted crap to my screen.,"{'neg': 0.265, 'neu': 0.588, 'pos': 0.147, 'compound': -0.25}"
123,IOS 14.1 is a shit. Now with this update my iPhone 11 does not detect or detects with very low signal…,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.7178}"
138,"I think that’s because iOS 14 broke something PPSSPP relied on (JIT), but it seems that might be fixed…","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2263}"
195,Her email on PayPa1 is janxer Thank you so much that I haven’t gotten iOS 14 yet because I kept uploading my files wrong.,"{'neg': 0.121, 'neu': 0.781, 'pos': 0.098, 'compound': -0.1531}"
201,✅ Don't forget to subscribe to the 1️ canal channel 20 Incredible Tweaks for iPhone with Jail ...,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.1695}"
209,Finally fucked around and updated to iOS 14. Now I’m trying to figure out how to do the weird customizing your UI w…,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.7269}"
217,oh my god the podcasts app on ios 14 is broken beyond belief,"{'neg': 0.191, 'neu': 0.679, 'pos': 0.13, 'compound': -0.25}"
222,baru nak update ios 14 heh 😂,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}"
245,Literally my phone updated to IOS 14 by itself and all of my apps aren’t even working now like they’re all broken 💀,"{'neg': 0.121, 'neu': 0.781, 'pos': 0.098, 'compound': -0.1531}"
255,"Tw you know everything, can someone help me with this problem? My iphone 7 has no service, I tried to update ...","{'neg': 0.213, 'neu': 0.679, 'pos': 0.108, 'compound': -0.3869}"
256,euphoria ariana grande chris evans animal crossing nudes 18+ leak leaked thread bts harry styles charli damelio noa…,"{'neg': 0.196, 'neu': 0.625, 'pos': 0.179, 'compound': 0.1531}"
274,✅ Don't forget to subscribe to 1️⃣ channel 20 Incredible Tweaks for iPh ...,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.1695}"
297,Even after the iOS 14.1 update my phone has become laggish! Some freezes on apps n here n there! 🙁,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.1739}"
299,Damn Apple maybe I don’t want to update to iOS 14,"{'neg': 0.225, 'neu': 0.667, 'pos': 0.108, 'compound': -0.34}"
304,"❝ streaming apps premium❞ 𑁍 new price list !! • netflix anti on hold • spotify [inplan, famplan, adm famplan] • vi…","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4374}"
308,That iOS 14 update is hard on a voter’s brain. Try a reboot and immediately reboot again. But…,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.1027}"
309,"IOS 14.1 is very cool, it seems that my cell would have had an upgrade to the latest iPhone model ... it seems no more","{'neg': 0.079, 'neu': 0.828, 'pos': 0.093, 'compound': 0.101}"
