,tweets_en,sentistrength
0,iOS 14 I feel that the battery is exhausted.,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}"
1,"iPad, it should be able to watch 4K on YouTube for a long time, because it's so good, it's been a long time ago, I just made it look in iOS 14, watch NCT in 4K, it ...","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.5777}"
2,I was updated to ios 14... but I can't decorate it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,how come people display the menu on ios 14 is good,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
4,I wonder if iOS 14.2 will come out 10 or earlier 🤔,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"I see ... Wai recently upgraded to iOS 14, and the added features seemed to make it sharp ... I really don't need it ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,#Flossy 😍🤟🏼 Great theme for iOS 14 #WidgetToolBox BG,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}"
7,APPLE MUSIC 🔥 (support ios 14) 3 bulan : 25.000 [ ios 14 +5rb ] Garansi | Aktivasi &amp; Perpanjang | Akun pribadi |…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,fancam blackpink promo gc gg bg like/rt if you stan looking for moots nsfw gay lesbian porn au sub dom vkook jikook…,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.296}"
12,📱 Non-jailbroken support for devices with A12 processors and up running iOS 14.2 is coming soon. ⚠️ needs to…,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}"
13,"ios-kun, it would be helpful if you could tell me from now on that when you update to 14, the new app icon will interrupt the second page without permission and it will shift in various ways.","{'neg': 0.06, 'neu': 0.871, 'pos': 0.07, 'compound': 0.1027}"
14,Transport for Wales update: 11:14 Maesteg to Gloucester due 13:16 will be started from Cardiff Central. Download th…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"i just swiped left of home on iOS 14.1, and there’s a photo of my ex husband at the top of the widgets. i don’t rea…","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.2023}"
16,ios 14 tutorial,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"Until now, iOS was 12 but suddenly changed to 14, so it takes a lot of time to update ()","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,Happy. My diabetes app still works after the upgrade to iOS 14. Now I have another message that I apple ...,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5719}"
20,"When I tried to connect ipad with tethering of iphone ios 14, there is no tethering item no matter how much I searched! !! Even if I check it, the item of ""Internet sharing"" used for tethering is not in the setting application itself ... As a result of being insanely impatient AP ...","{'neg': 0.133, 'neu': 0.798, 'pos': 0.069, 'compound': -0.5538}"
21,🌻 Apple Music 🌻 • Aktivasi (bisa ios 14) 15k/3 bulan • Perpanjang (ios 14❌) 20k/3 bulan ✅legal &amp; garansi ✅need a…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"But thanks to it, I saw that many applications steal the data you copied before.","{'neg': 0.177, 'neu': 0.663, 'pos': 0.16, 'compound': -0.0772}"
24,"I updated IOS 14 I want to cry, I have to take it off quickly","{'neg': 0.215, 'neu': 0.694, 'pos': 0.09, 'compound': -0.4215}"
25,"How to set up and use Smart Stack, Smart Stack widget on iPhone in iOS 14 #iPhoneMod","{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.6597}"
26,"🍁 APPLE MUSIC 🍁 Extend / activate: ☁ 20k / account ☁ 30k / 2 accounts 👉 Can be for android, can be iOS 14, full warranty, still ...","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}"
27,"🍁 APPLE MUSIC 🍁 Extend / activate: ☁ 20k / account ☁ 30k / 2 accounts 👉 Can be for android, can be iOS 14, full warranty, still ...","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}"
28,"🍁 APPLE MUSIC 🍁 Extend / activate: ☁ 20k / account ☁ 30k / 2 accounts 👉 Can be for android, can be iOS 14, full warranty, still ...","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}"
29,i’m sorry ios 14 shows the typing bubbles when u don’t even have the message open???!! who tf said that was okay??,"{'neg': 0.055, 'neu': 0.8, 'pos': 0.145, 'compound': 0.4843}"
30,"ios 14.2 Come out soon, please fix the health app capacity!!!!!!","{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5374}"
